RK,PLAYER,POS,TEAM,AST,TOTAL,COMB,SACK,YDSL,PD,INT,YDS,LONG,TD,FF,REC,TD,YEAR
NA,Jurrell Casey, DT,TEN,13,28,41,3.0,22,0,0,0,0,0,0,0,0,2017
NA,Melvin Ingram, LB,LAC,6,35,41,8.5,72,0,0,0,0,0,1,2,1,2017
NA,Darius Slay, CB,DET,5,36,41,0.0,0,15,4,52,37,0,0,0,0,2017
NA,K'Waun Williams, CB,SF,7,34,41,0.0,0,2,0,0,0,0,2,0,0,2017
NA,Marcus Peters, CB,KC,4,37,41,0.0,0,5,3,63,38,0,2,1,1,2017
NA,Damarious Randall, CB,GB,9,32,41,0.0,0,7,4,35,21,1,0,1,0,2017
NA,
NA,Kendall Fuller, CB,WSH,10,31,41,0.0,0,6,4,4,3,0,1,0,0,2017
NA,Nicholas Morrow, LB,OAK,15,26,41,0.0,0,3,0,0,0,0,0,0,0,2017
193,Brandon Carr, CB,BAL,6,34,40,0.0,0,7,3,57,33,0,0,0,0,2017
NA,Muhammad Wilkerson, DE,NYJ,17,23,40,2.5,10,4,1,3,3,0,0,0,0,2017
NA,Davon House, CB,GB,7,33,40,1.0,8,3,1,0,0,0,0,0,0,2017
NA,Lawrence Guy, DE,NE,18,22,40,0.0,0,0,0,0,0,0,0,0,0,2017
NA,Jadeveon Clowney, DE,HOU,9,31,40,9.0,62,2,0,0,0,0,2,2,1,2017
NA,Brock Coyle, LB,SF,14,26,40,0.5,1,1,0,0,0,0,0,0,0,2017
NA,Michael Pierce, DT,BAL,13,27,40,1.0,5,0,0,0,0,0,0,2,0,2017
NA,P.J. Williams, CB,NO,13,27,40,0.0,0,7,2,7,7,0,0,0,0,2017
,
201,Eli Apple, CB,NYG,6,34,40,0.0,0,8,0,0,0,0,0,2,0,2017
NA,Shaquill Griffin, CB,SEA,6,34,40,0.0,0,12,0,0,0,0,0,0,0,2017
203,Johnathan Joseph, CB,HOU,9,30,39,0.0,0,7,2,85,82,1,0,0,0,2017
NA,Brandon Graham, DE,PHI,12,27,39,8.5,63,2,0,0,0,0,2,0,0,2017
NA,Gerald McCoy, DT,TB,10,29,39,5.0,22,1,0,0,0,0,0,0,0,2017
NA,Frank Zombo, LB,KC,17,22,39,1.5,8,0,0,0,0,0,0,0,0,2017
NA,Jabaal Sheard, LB,IND,11,28,39,4.5,41,1,0,0,0,0,2,0,0,2017
NA,Korey Toomer, LB,LAC,15,24,39,0.0,0,3,1,59,59,1,1,0,0,2017
NA,Xavier Rhodes, CB,MIN,7,32,39,0.0,0,7,2,23,21,0,0,0,0,2017
NA,Nevin Lawson, CB,DET,5,34,39,0.0,0,3,0,0,0,0,1,1,1,2017
NA,
NA,Darryl Roberts, CB,NYJ,3,36,39,0.0,0,7,1,0,0,0,0,0,0,2017
NA,Artie Burns, CB,PIT,3,36,39,0.0,0,7,0,0,0,0,0,2,0,2017
213,Brent Grimes, CB,TB,2,36,38,0.0,0,7,2,67,39,0,0,1,0,2017
NA,Orlando Scandrick, CB,DAL,6,32,38,0.0,0,3,0,0,0,0,0,0,0,2017
NA,Mike Mitchell, S,PIT,14,24,38,0.0,0,2,0,0,0,0,0,0,0,2017
NA,NaVorro Bowman, LB,OAK/SF,16,22,38,0.0,0,1,0,0,0,0,0,0,0,2017
NA,Cameron Heyward, DE,PIT,13,25,38,9.0,60,0,0,0,0,0,1,1,0,2017
NA,Kawann Short, DT,CAR,18,20,38,4.0,14,0,0,0,0,0,1,1,0,2017
NA,Ross Cockrell, CB,NYG,11,27,38,0.0,0,2,0,0,0,0,0,0,0,2017
